Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url
721318437075685382 ,2016-04-16,12:44,Bill Schulhoff,BillSchulhoff,"Husband,Dad,GrandDad,Ordained Minister, Umpire, Poker Player, Mets, Jets, Rangers, LI Ducks, Sons of Anarchy, Survivor, Apprentice, O&A, & a good cigar","Wind 3.2 mph NNE. Barometer 30.20 in, Rising slowly. Temperature 49.3 °F. Rain today 0.00 in. Humidity 32%",,,40.76027778,-72.95472221999999,US,"East Patchogue, NY",http://pbs.twimg.com/profile_images/378800000718469152/535032cf772ca04524e0fe075d3b4767_normal.jpeg,386,705,24,en,http://www.twitter.com/BillSchulhoff/status/721318437075685382
721318436173979648 ,2016-04-16,12:44,Daniele Polis,danipolis,"Viagens, geek, moda, batons laranja, cabelos coloridos, compras, sapatos, fotos e livros.
E também @blogtrippolis.","Pausa pro café antes de embarcar no próximo vôo. #trippolisontheroad #danipolisviaja 

Pause for… https://t.co/PhcJ4oYktP",,,32.89834949,-97.03919589,US,"Grapevine, TX",http://pbs.twimg.com/profile_images/704176034015485952/gZZV4tKJ_normal.jpg,812,647,16,pt,http://www.twitter.com/danipolis/status/721318436173979648
721318434169102336 ,2016-04-16,12:44,Kasey Jacobs,KJacobs27,Norwich University Class of 2017,Good. Morning. #morning #Saturday #diner #VT #breakfast #nucorpsofcadetsring #ring #college… https://t.co/dBZ7dbwX6f,,,44.199476,-72.50417299999999,US,"Barre, VT",http://pbs.twimg.com/profile_images/716958564942741504/hU_z-GGb_normal.jpg,179,206,2,en,http://www.twitter.com/KJacobs27/status/721318434169102336
721318429844582400 ,2016-04-16,12:44,Stan Curtis,stncurtis,"transcendental music, art for art's sake, craftbrew aficionado, sports fanatic, go for the organic, think for yourself-question authority",@gratefuldead recordstoredayus ?????? @ TOMS MUSIC TRADE https://t.co/CURRmn6iJo,,,39.901474,-76.60681700000001,US,"Red Lion, PA",http://pbs.twimg.com/profile_images/696252824624041984/Ap5l5FU5_normal.jpg,1229,2071,11,en,http://www.twitter.com/stncurtis/status/721318429844582400
721318429081407488 ,2016-04-16,12:44,Dave Borzymowski,wi_borzo,When in doubt....Panic.,"Egg in a muffin!!! (@ Rocket Baby Bakery - @rocketbabybaker in Wauwatosa, WI) https://t.co/mwfhrcxtRp",,,43.06084924,-87.99830888,US,"Wauwatosa, WI",http://pbs.twimg.com/profile_images/659527912920621056/aA63owGw_normal.jpg,129,833,9,en,http://www.twitter.com/wi_borzo/status/721318429081407488
721318428590649344 ,2016-04-16,12:44,kirstin,KirstinMerrell,mars model,@lyricwaters should've gave the neighbor  a buzz. Iv got ice cream and moms baked goodies ??,,,36.0419128,-75.68186176,US,"Kill Devil Hills, NC",http://pbs.twimg.com/profile_images/715020648494604288/wqCZ3GHo_normal.jpg,497,659,1,en,http://www.twitter.com/KirstinMerrell/status/721318428590649344
721318427605012481 ,2016-04-16,12:44,Joshua Kosches,Jkosches86,"I am a John Jay MPA Alum. I live in Miami,FL.","On the way to CT! (@ Mamaroneck, NY in Mamaroneck, NY) https://t.co/6rpe6MXDkB",,,40.95034402,-73.74092102,US,"Mamaroneck, NY",http://pbs.twimg.com/profile_images/595302568428986368/LnATKLm9_normal.jpg,37,223,3,en,http://www.twitter.com/Jkosches86/status/721318427605012481
721318426858250240 ,2016-04-16,12:44,TMJ-PA Retail Jobs,tmj_pa_retail,Follow this account for geo-targeted Retail job tweets in Pennsylvania Non-Metro. Need help? Tweet us at @CareerArc!,We're #hiring! Read about our latest #job opening here: Retail Sales Consultant [CWA MOB] Bryn Mawr PA - https://t.co/bBwxSPsL4f #Retail,,,40.0230237,-75.31517719999999,US,"Bryn Mawr, PA",http://pbs.twimg.com/profile_images/666920930464002048/1e-egmEB_normal.jpg,480,312,122,en,http://www.twitter.com/tmj_pa_retail/status/721318426858250240
721318425193226242 ,2016-04-16,12:44,Vidal Alexander,Vonfandango,Just ask!,Me... @ Montgomery Scrap Corporation https://t.co/kpt7zM4xbL,,,39.10335,-77.13652,US,"Rockville, MD",http://pbs.twimg.com/profile_images/404979712/ac_sephiroth_1024_normal.jpg,36,116,,en,http://www.twitter.com/Vonfandango/status/721318425193226242
721318424991805440 ,2016-04-16,12:44,TMJ-BAL Jobs,tmj_bal_jobs,"Follow this account for geo-targeted Other job tweets in Baltimore, MD. Need help? Tweet us at @CareerArc!","BAYADA Home Health Care: Home Health Registered Nurse (#GlenBurnie, MD) https://t.co/m53vlvEyO0 #Job #Jobs #Hiring",,,39.1626084,-76.6246886,US,"Glen Burnie, MD",http://pbs.twimg.com/profile_images/689472804815671296/219lGcLS_normal.jpg,635,540,25,en,http://www.twitter.com/tmj_bal_jobs/status/721318424991805440
721318424136187904 ,2016-04-16,12:44,TMJ-MD Retail Jobs,tmj_md_retail,Follow this account for geo-targeted Retail job tweets in Maryland Non-Metro. Need help? Tweet us at @CareerArc!,"Shift Supervisor Trainee - CVS Health: (#OCEANCITY, MD) https://t.co/BqCqtHS9bO #Retail #Job #Jobs #Hiring #CareerArc",,,38.3365032,-75.0849058,US,"Ocean City, MD",http://pbs.twimg.com/profile_images/668252878272749568/Pl33rKsq_normal.jpg,382,306,71,en,http://www.twitter.com/tmj_md_retail/status/721318424136187904
721318424023068673 ,2016-04-16,12:44,gkalkat,gkalkat,,#007 #jamesbond #blacktie #redcarpet #vip #gambling #youonlylivetwice #diamondsareforever… https://t.co/ZXRyEC9Dlg,,,37.55626996,-122.30132765,US,"San Mateo, CA",http://pbs.twimg.com/profile_images/1679986823/image_normal.jpg,164,600,17,es,http://www.twitter.com/gkalkat/status/721318424023068673
721318423733604353 ,2016-04-16,12:44,Dr K Goodson,GodsNaturalDiva,"I am an environmental engineering PhD who has recently found her career and is in hot pursuit for my passion.
http://t.co/aR3MPUHgCF","Although I am not endorsing a candidate, I thought this was… https://t.co/72ctPqptOA",,,39.0992,-76.5361,US,"Pasadena, MD",http://pbs.twimg.com/profile_images/592124966927208448/q_mcRnsd_normal.jpg,1317,1689,43,en,http://www.twitter.com/GodsNaturalDiva/status/721318423733604353
721318422437564416 ,2016-04-16,12:44,Sarah Kehoe,sarahkehoe,"#agencylife @boelterlincoln | Coffee Snob | MKE Lover but my ?? is in CO | Wannabe Blogger: https://t.co/8vQULBOb0I Opinions are my own, obviously.","I think spring finally has arrived! (@ Milwaukee Lakefront in Milwaukee, WI) https://t.co/usjyJETrQV",,,43.04204537,-87.89545298,US,"Milwaukee, WI",http://pbs.twimg.com/profile_images/662490991014858752/Zsfdzu4e_normal.jpg,1285,1522,107,en,http://www.twitter.com/sarahkehoe/status/721318422437564416
721318421825060866 ,2016-04-16,12:44,TMJ- BOS Health Jobs,tmj_bos_health,"Follow this account for geo-targeted Healthcare job tweets in Boston, MA. Need help? Tweet us at @CareerArc!","Want to work in #Burlington, MA? View our latest opening: https://t.co/qwwWQt0DMj #Healthcare #Job #Jobs #Hiring #CareerArc",,,42.5047161,-71.1956205,US,"Burlington, MA",http://pbs.twimg.com/profile_images/667055064503050240/6cTrjjDc_normal.jpg,670,1212,102,en,http://www.twitter.com/tmj_bos_health/status/721318421825060866
721318421707624448 ,2016-04-16,12:44,John Hancock,JohnHancockJobs,"Official #jobs handle of John Hancock Financial Services, world leader for #insurance & financial products. Follow @JohnHancockUSA for company news & updates","Want to work in #Charlotte, NC? View our latest opening: https://t.co/nkrJjulisQ #BusinessMgmt #insurance #Job #Jobs #Hiring",,,35.2270869,-80.8431267,US,"Charlotte, NC",http://pbs.twimg.com/profile_images/562279531847761920/NMACPtna_normal.jpeg,849,,193,en,http://www.twitter.com/JohnHancockJobs/status/721318421707624448
721318421380603904 ,2016-04-16,12:44,raj,vaidyeah33,young metro trusts me | rutgers student | #devilsarmy #patsnation,you'll love this @34jaIIen https://t.co/fL7YNLOAsk,,,40.33612906,-74.59628558,US,"Plainsboro, NJ",http://pbs.twimg.com/profile_images/716075463840559105/NzT2eYdE_normal.jpg,1402,1337,35,en,http://www.twitter.com/vaidyeah33/status/721318421380603904
721318420331925504 ,2016-04-16,12:44,TMJ-DTW Engin. Jobs,tmj_dtw_eng,"Follow this account for geo-targeted Engineering job tweets in Detroit, MI. Need help? Tweet us at @CareerArc!","#Engineering #Job alert: Prod Engr - Software | ZF TRW | #Livonia, MI https://t.co/c86RXWivrk #Veterans #Jobs #Hiring",,,42.36837,-83.35270970000001,US,"Livonia, MI",http://pbs.twimg.com/profile_images/669441098180374529/42QgNN7r_normal.jpg,374,229,35,es,http://www.twitter.com/tmj_dtw_eng/status/721318420331925504
721318420034093056 ,2016-04-16,12:44,Atlanta IT Jobs,tmj_atl_it,"Follow this account for geo-targeted Software Dev. - General/IT job tweets in Atlanta, GA. Need help? Tweet us at @CareerArc!","Can you recommend anyone for this #job? Clinical Applications Coordinator - Ancillary - https://t.co/MKe3sLrMFt #Atlanta, GA #IT #Hiring",,,33.9091884,-84.3540514,US,"Sandy Springs, GA",http://pbs.twimg.com/profile_images/668178853605457920/BTbEst1B_normal.jpg,934,361,117,en,http://www.twitter.com/tmj_atl_it/status/721318420034093056
